PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Age_mean,Fare_mean,Title,Embarked_Q,Embarked_S,Ticket_Freq
892,0,3,1,0,0,7,34.5,7.8292,2,1.0,0.0,1
893,1,3,0,1,0,7,47.0,7.0,3,0.0,1.0,1
894,0,2,1,0,0,7,62.0,9.6875,2,1.0,0.0,1
895,0,3,1,0,0,7,27.0,8.6625,2,0.0,1.0,1
896,1,3,0,1,1,7,22.0,12.2875,3,0.0,1.0,1
897,0,3,1,0,0,7,14.0,9.225,2,0.0,1.0,1
898,1,3,0,0,0,7,30.0,7.6292,1,1.0,0.0,1
899,0,2,1,1,1,7,26.0,29.0,2,0.0,1.0,1
900,1,3,0,0,0,7,18.0,7.2292,3,0.0,0.0,1
901,0,3,1,2,0,7,21.0,24.15,2,0.0,1.0,1
902,0,3,1,0,0,7,30.272590361445783,7.8958,2,0.0,1.0,1
903,0,1,1,0,0,7,46.0,26.0,2,0.0,1.0,1
904,1,1,0,1,0,1,23.0,82.2667,3,0.0,1.0,2
905,0,2,1,1,0,7,63.0,26.0,2,0.0,1.0,2
906,1,1,0,1,0,4,47.0,61.175,3,0.0,1.0,1
907,1,2,0,1,0,7,24.0,27.7208,3,0.0,0.0,1
908,0,2,1,0,0,7,35.0,12.35,2,1.0,0.0,1
909,0,3,1,0,0,7,21.0,7.225,2,0.0,0.0,1
910,1,3,0,1,0,7,27.0,7.925,1,0.0,1.0,1
911,1,3,0,0,0,7,45.0,7.225,3,0.0,0.0,1
912,0,1,1,1,0,7,55.0,59.4,2,0.0,0.0,1
913,0,3,1,0,1,7,9.0,3.1708,0,0.0,1.0,1
914,1,1,0,0,0,7,30.272590361445783,31.6833,3,0.0,1.0,1
915,0,1,1,0,1,7,21.0,61.3792,2,0.0,0.0,1
916,1,1,0,1,3,1,48.0,262.375,3,0.0,0.0,5
917,0,3,1,1,0,7,50.0,14.5,2,0.0,1.0,1
918,1,1,0,0,1,1,22.0,61.9792,1,0.0,0.0,1
919,0,3,1,0,0,7,22.5,7.225,2,0.0,0.0,1
920,0,1,1,0,0,0,41.0,30.5,2,0.0,1.0,1
921,0,3,1,2,0,7,30.272590361445783,21.6792,2,0.0,0.0,2
